system:index,elevation,nwsli,.geo
00000000000000000041_0,1748.2692,BMUC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,1628.1298,BMXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,797.8375,BNDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,253.84628,BNGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,1088.892,BNJC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,750.3524,BNKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,792.3639,BNTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,205.20071,BNVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,1770.8717,BOGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,1358.7261,BOLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,487.78687,BONC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,1693.41,BOWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,2087.2556,BPFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,2502.097,BPKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,2278.5881,BPMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,2119.177,BPNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,2028.5441,BPOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,1146.823,BRHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,113.888626,BSFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,3425.3928,BSHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,955.0383,BSNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,2055.8936,BTKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,1092.2004,BTRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,55.4108,BTTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,1605.0502,BTUC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,1439.119,BUFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,1786.1364,BUGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,455.5157,BUNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,848.5387,BUPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,1986.6407,BVAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
