nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
DD36779E,GTBM3,MA,42.2319,-73.3553,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
170BE3B0,HGMM3,MA,42.2347,-70.8725,USGS01,HG,VB,HG,,,,,,,,,,,,,,,,,,,,,
CE39D496,HLYM3,MA,42.2081,-72.6094,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE39E10C,HNTM3,MA,42.2372,-72.8961,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
DDEB0192,HOLM3,MA,42.3728,-71.8286,USGS01,HG,TW,PC,WC,VB,,,,,,,,,,,,,,,,,,,
DF0CB6E6,HRDM3,MA,42.3933,-72.2392,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DD1362C6,HRWM3,MA,41.7,-70.1075,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE32512A,HUGM3,MA,42.2372,-72.8961,CENED1,TA,PC,HP,,,,,,,,,,,,,,,,,,,,,
CE329434,HVDM3,MA,42.1186,-71.8814,CENED1,HP,PC,HT,,,,,,,,,,,,,,,,,,,,,
17D0A0E8,HVRM3,MA,42.7728,-71.0831,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE45D0A6,INDM3,MA,42.1606,-72.5144,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
1684E338,INHM3,MA,42.1006,-70.8231,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDAF32EE,IPSM3,MA,42.6597,-70.8942,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
D11E946E,KNGM3,MA,41.9908,-70.7342,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE0CA3B6,KNTM3,MA,42.2878,-72.8639,CENED1,HT,,,,,,,,,,,,,,,,,,,,,,,
168524DC,LAWM3,MA,42.7047,-71.1531,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1655C4D4,LCNM3,MA,42.6367,-71.3025,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
D11E779C,LEOM3,MA,42.495,-71.7219,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE46D7A8,LOWM3,MA,42.6458,-71.2989,CENED1,HG,VB,,,,,,,,,,,,,,,,,,,,,,
D11EB282,MAYM3,MA,42.4319,-71.4503,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD141662,MEDM3,MA,42.1397,-71.39,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDAF2198,MLBM3,MA,42.1889,-71.7656,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD13C23E,MLTM3,MA,42.2708,-71.0689,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
CE3A231C,MNSM3,MA,42.0733,-72.2917,CENED1,HP,,,,,,,,,,,,,,,,,,,,,,,
CE45DE74,MNTM3,MA,42.5803,-72.5744,CENED1,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DE1232A6,MTHM3,MA,42.7431,-71.2089,USGS01,HG,TW,PC,WV,,,,,,,,,,,,,,,,,,,,
170C37EC,MTTM3,MA,41.6625,-70.8389,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
170C6790,MUDM3,MA,42.3372,-71.1117,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
CE393764,NBDM3,MA,41.62,-70.9103,CENED1,HM,PA,US,UD,TA,,,,,,,,,,,,,,,,,,,
CE467982,NBRM3,MA,42.1536,-71.6525,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE32E2A4,NBSM3,MA,42.0789,-73.0728,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
D11EC412,NDGM3,MA,41.8661,-71.1233,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDE6A20C,NFDM3,MA,42.6833,-72.4719,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
172A36CC,NGFM3,MA,42.2303,-71.7114,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
24A00104,NHMM3,MA,42.3108,-72.6219,NHMASS,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
17D07680,NMIM3,MA,42.3189,-72.6656,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17D31468,NORM3,MA,41.9475,-71.1772,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDEA668E,NPTM3,MA,42.8156,-70.8733,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
17D22308,NRWM3,MA,42.1775,-71.2014,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
D11E8718,OTRM3,MA,42.5883,-72.0414,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
