nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
6000B1E0,BHRO3,OR,44.6056,-120.683,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
0EE07BC6,BIFO3,OR,44.1683,-124.067,OREERD,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3481469E,BIRO3,OR,45.6514,-118.878,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
AA11405A,BKAO3,OR,44.8428,-117.81,NWSWRH,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3245349C,BKFO3,OR,42.6936,-124.039,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
327F70B4,BLKO3,OR,45.5736,-118.239,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,,,,,,,,,,,,,,
CE36910E,BLMO3,OR,45.3322,-119.54,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE778D8C,BLUO3,OR,44.1625,-122.332,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
D1061142,BLWO3,OR,44.9608,-122.385,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9B22D2,BLZO3,OR,45.4528,-121.89,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
D113847E,BMFO3,OR,45.4983,-122.011,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
34802182,BMOO3,OR,42.4264,-122.957,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3263432C,BNFO3,OR,43.2192,-123.843,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD59A556,BODO3,OR,43.3036,-122.529,USGS01,HG,HG,VB,,,,,,,,,,,,,,,,,,,,,
3236E056,BOFO3,OR,44.7219,-122.003,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
16F197C4,BONO3,OR,45.6331,-121.961,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD268084,BOYO3,OR,42.0847,-122.072,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
3250A1A0,BQFO3,OR,42.2547,-118.968,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE588422,BRBO3,OR,44.7525,-122.129,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DDC5B79A,BRLO3,OR,45.4611,-121.843,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
CE58AC1C,BRTO3,OR,44.2181,-122.264,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
324A2178,BRUO3,OR,44.2842,-122.849,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
175FE2C8,BRVO3,OR,45.4828,-122.082,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
0EE0F300,BTCO3,OR,44.9558,-120.136,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
3234D038,BTFO3,OR,45.6817,-117.206,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
34257068,BTYO3,OR,42.4472,-121.238,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
325F92A8,BUCO3,OR,42.1206,-122.564,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3474D628,BULO3,OR,44.0306,-117.412,BURPNW,HP,TA,PC,,,,,,,,,,,,,,,,,,,,,
169BA13E,BUMO3,OR,45.1017,-122.745,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD4031F6,BURO3,OR,45.4478,-122.148,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
0EE0D5EC,BUSO3,OR,43.7158,-119.177,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
32505124,BWFO3,OR,43.5628,-120.236,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
325DA2C6,BYFO3,OR,44.67,-117.934,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3240202A,CAFO3,OR,43.4994,-121.058,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DD58F7D0,CANO3,OR,45.2444,-122.686,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
0EE1017E,CASO3,OR,45.1569,-118.819,OREERD,HG,,,,,,,,,,,,,,,,,,,,,,,
0EE6103C,CATO3,OR,45.2117,-117.876,OREERD,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
DDE30534,CBAO3,OR,46.1814,-123.182,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
60002482,CCRO3,OR,44.0217,-123.211,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
0EE01E20,CCTO3,OR,44.2564,-118.924,OREERD,HG,,,,,,,,,,,,,,,,,,,,,,,
3260D140,CDFO3,OR,45.2117,-123.772,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3245F182,CEFO3,OR,44.9711,-118.93,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
347FD580,CENO3,OR,44.0303,-121.295,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
32600728,CGFO3,OR,44.3169,-121.607,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
CE76F9E6,CGRO3,OR,44.1361,-122.247,CENWP1,HG,TW,HG,,,,,,,,,,,,,,,,,,,,,
3B04414A,CHQO3,OR,43.2825,-124.32,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,VB,,,,,,,,,,,,,,,
60001118,CHRO3,OR,43.6692,-123.944,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DD9A6322,CHSO3,OR,42.5844,-121.848,USGS01,HG,TA,WT,TW,VB,,,,,,,,,,,,,,,,,,,
DDD5038A,CHTO3,OR,42.1236,-124.186,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
3237F1DA,CIFO3,OR,43.3208,-122.107,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
32616034,CLFO3,OR,42.6314,-121.56,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD2693F2,CMRO3,OR,44.1664,-122.256,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
0EE28064,CNCO3,OR,44.3839,-118.95,OREERD,HG,,,,,,,,,,,,,,,,,,,,,,,
3260C236,CNFO3,OR,44.3489,-123.887,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DE52549C,COGO3,OR,42.8233,-123.125,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16952342,COQO3,OR,43.1578,-124.182,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE58E1C4,CORO3,OR,44.5661,-123.257,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
CD08A46A,COSO3,OR,43.2717,-124.319,NOACRD,DY,DJ,XR,PC,PC,PC,US,UP,TV,MS,TV,MS,TV,MS,TV,MS,TV,MS,RW,DH,TA,PP,PC,
CE761A14,COTO3,OR,43.7208,-123.049,CENWP1,HG,TW,HG,,,,,,,,,,,,,,,,,,,,,
32622430,CPFO3,OR,44.1572,-118.471,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
32404B1E,CQFO3,OR,42.5769,-121.894,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
34841122,CRAO3,OR,43.7536,-121.783,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
3484415E,CRCO3,OR,44.2389,-120.863,BURPNW,HG,TA,VB,,,,,,,,,,,,,,,,,,,,,
348424B8,CREO3,OR,43.5014,-121.972,BURPNW,HF,HG,TW,VB,,,,,,,,,,,,,,,,,,,,
DDD6E776,CRHO3,OR,45.7144,-121.503,USGS01,HG,US,UD,,,,,,,,,,,,,,,,,,,,,
DD96F7DC,CRMO3,OR,43.2511,-122.339,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
D1003760,CROO3,OR,44.4925,-121.297,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
3481E666,CRPO3,OR,44.1764,-120.588,BURPNW,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
348297F8,CRSO3,OR,44.3675,-121.139,BURPNW,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
326032B2,CSFO3,OR,44.355,-120.134,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3483A098,CSLO3,OR,45.86,-119.171,BURPNW,HP,,,,,,,,,,,,,,,,,,,,,,,
345AC0D8,CSRO3,OR,45.8664,-119.167,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
0EE3F40E,CTCO3,OR,43.8211,-121.824,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
0EE456C2,CTHO3,OR,45.1556,-117.775,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
F002C268,CTRO3,OR,42.9758,-122.088,USGS01,HL,TW,VB,,,,,,,,,,,,,,,,,,,,,
32678308,CVFO3,OR,42.7792,-123.735,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CD078414,CVSO3,OR,44.4186,-123.326,NOACRD,DY,DJ,XR,PC,PC,PC,US,UP,TV,MS,TV,MS,TV,MS,TV,MS,TV,MS,RW,DH,TA,PP,PC,
326241D6,CWFO3,OR,43.8411,-118.952,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DC8001AA,CWMO3,OR,42.73,-123.45,DOUGLS,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3B002196,CWQO3,OR,43.3378,-124.321,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,VB,,,,,,,,,,,,,,,
DDA0C4F8,CWRO3,OR,43.2444,-122.286,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
345631C0,DANO3,OR,42.9403,-117.34,BURPNW,TA,PC,,,,,,,,,,,,,,,,,,,,,,
E50024C0,DCHO3,OR,43.52,-123.011,OREWRD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
347BC3CC,DCMO3,OR,44.0689,-121.312,BURPNW,QD,VB,,,,,,,,,,,,,,,,,,,,,,
169BC4D8,DCSO3,OR,44.9767,-122.83,USGS01,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
0EE64040,DCWO3,OR,44.4633,-123.964,OREERD,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
347FC6F6,DEBO3,OR,44.0831,-121.307,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
D1002416,DECO3,OR,44.4989,-121.32,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
D10624D8,DEQO3,OR,44.6531,-122.13,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
CE01C536,DETO3,OR,44.7219,-122.25,CENWP1,HP,,,,,,,,,,,,,,,,,,,,,,,
F000C79C,DEXO3,OR,43.9458,-122.836,USGS01,PA,,,,,,,,,,,,,,,,,,,,,,,
34403690,DLEO3,OR,45.7661,-119.216,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE75C5A0,DLLO3,OR,45.475,-123.123,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
179263DE,DONO3,OR,42.7908,-118.868,USGS01,TW,HG,,,,,,,,,,,,,,,,,,,,,,
CE794228,DORO3,OR,43.7931,-122.99,CENWP1,HF,,,,,,,,,,,,,,,,,,,,,,,
FED09CC6,DRBO3,OR,43.2511,-118.858,FWSREF,HG,VB,,,,,,,,,,,,,,,,,,,,,,
0EE80722,DRMO3,OR,44.7467,-118.106,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDCE92DE,DRRO3,OR,43.7361,-122.872,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
15C04912,DSLO3,OR,44.2078,-118.911,NWSWRH,PP,VB,,,,,,,,,,,,,,,,,,,,,,
0EE3E778,DSNO3,OR,43.8139,-121.777,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
3269B2FA,DSRO3,OR,45.6042,-122.043,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,,,,,,,,,,,,,,
32489702,DUNO3,OR,43.9578,-124.12,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
F002A78E,DURO3,OR,45.4036,-122.754,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
326B226C,DVLO3,OR,43.72,-123.63,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3482B114,EBCO3,OR,45.4842,-118.834,BURPNW,HG,TW,TA,VB,,,,,,,,,,,,,,,,,,,,
0EE0BED8,ECNO3,OR,45.885,-123.93,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
0EE0ADAE,ECWO3,OR,45.8736,-123.934,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD5CF2EA,EFAO3,OR,42.1528,-122.708,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
0EE59126,EFIO3,OR,42.0028,-123.626,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
600037F4,EGKO3,OR,45.3681,-122.331,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
CE805BC4,EGLO3,OR,42.525,-122.842,CENWP1,TW,HG,,,,,,,,,,,,,,,,,,,,,,
323EB48C,EKCO3,OR,44.7578,-117.971,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD5EC284,EKTO3,OR,43.5861,-123.554,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9716D4,ELKO3,OR,42.6789,-122.741,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
3262E12E,EMFO3,OR,43.4831,-122.23,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
347AF4AC,EMIO3,OR,42.1639,-122.604,BURPNW,HP,HG,TA,PC,TW,VB,,,,,,,,,,,,,,,,,,
3246157E,ENFO3,OR,45.9267,-117.588,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
347FB066,EPTO3,OR,42.4556,-122.827,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
DDF87792,ESTO3,OR,45.3,-122.353,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
CE76215C,EUGO3,OR,44.05,-123.083,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
326B8294,EVFO3,OR,42.5978,-123.105,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3257D504,FAFO3,OR,44.8142,-117.729,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE80161C,FALO3,OR,43.9444,-122.774,CENWP1,HF,,,,,,,,,,,,,,,,,,,,,,,
D111F71A,FCBO3,OR,45.4803,-122.024,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
3260B4A6,FEFO3,OR,43.6806,-122.302,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
325D842A,FFFO3,OR,42.4719,-119.178,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
32550698,FGFO3,OR,42.8233,-118.935,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD890654,FHCO3,OR,43.2114,-122.426,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
325D74AE,FKFO3,OR,43.4319,-120.838,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
32653572,FLFO3,OR,42.9736,-119.246,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3449465C,FLKO3,OR,42.3778,-122.347,BURPNW,HP,TA,VB,,,,,,,,,,,,,,,,,,,,,
3262F258,FMFO3,OR,44.2939,-119.033,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3449552A,FMLO3,OR,42.4569,-122.242,BURPNW,HP,TA,VB,,,,,,,,,,,,,,,,,,,,,
CE1511FA,FNFO3,OR,43.9672,-122.63,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
837507E2,FNWO3,OR,44.4183,-123.325,FWSBID,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
CE01B3A6,FOSO3,OR,44.4147,-122.67,CENWP1,HP,HP,HT,,,,,,,,,,,,,,,,,,,,,
600074FE,FPRO3,OR,42.3956,-124.379,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
E5005250,FRMO3,OR,45.4472,-122.949,OREWRD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE767120,FRNO3,OR,44.1236,-123.299,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
16FE72A4,FSSO3,OR,45.7039,-123.755,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
34838674,FURO3,OR,45.6911,-119.124,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
E500022C,GALO3,OR,45.5108,-123.116,OREWRD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
15C170A0,GARO3,OR,45.5703,-123.956,NWSWRH,US,UD,UG,VB,UP,UR,,,,,,,,,,,,,,,,,,
34439FB4,GASO3,OR,45.4389,-123.14,BURPNW,HG,TA,PC,TW,VB,,,,,,,,,,,,,,,,,,,
0EE3D2E2,GCCO3,OR,45.0714,-118.317,OREERD,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
DE66C2B4,GCVO3,OR,44.1461,-122.573,USGS01,HG,HG,TW,WC,WP,WT,WO,,,,,,,,,,,,,,,,,
15D01EF0,GCWO3,OR,44.1894,-122.489,NWSWRH,TA,XR,PP,VB,,,,,,,,,,,,,,,,,,,,
326116A4,GDFO3,OR,43.4158,-122.577,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
6000026E,GELO3,OR,44.6078,-123.475,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3483D608,GERO3,OR,42.2011,-121.13,BURPNW,HP,HP,HG,NO,NO,NO,,,,,,,,,,,,,,,,,,
DDD031D0,GIBO3,OR,45.7197,-118.322,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
347476D0,GILO3,OR,42.3583,-122.509,BURPNW,HG,TW,PC,TA,VB,,,,,,,,,,,,,,,,,,,
DD98E0C2,GLNO3,OR,42.8042,-123.61,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE73284E,GOSO3,OR,43.9803,-122.966,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE8BC3DC,GOSO3,OR,43.9803,-122.966,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
3260E4DA,GPFO3,OR,43.9281,-123.89,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE01A0D0,GPRO3,OR,44.45,-122.549,CENWP1,HP,HP,,,,,,,,,,,,,,,,,,,,,,
CE80608C,GRAO3,OR,42.4303,-123.318,CENWP1,TW,HG,,,,,,,,,,,,,,,,,,,,,,
3250F1DC,GRBO3,OR,42.2061,-121.138,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
1731A798,GREO3,OR,45.4867,-122.421,USGS01,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3250D730,GSFO3,OR,42.6261,-117.395,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
1730059A,GSVO3,OR,42.8489,-123.178,USGS01,HF,,,,,,,,,,,,,,,,,,,,,,,
34823700,GZYO3,OR,44.5197,-120.939,BURPNW,TA,PC,VB,,,,,,,,,,,,,,,,,,,,,
CE762F8E,HARO3,OR,44.2706,-123.173,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
347C82F2,HATO3,OR,42.1722,-122.467,BURPNW,HP,HG,TA,TW,UD,US,PC,VB,,,,,,,,,,,,,,,,
CE802386,HCRO3,OR,43.7222,-122.438,CENWP1,HP,HT,VB,,,,,,,,,,,,,,,,,,,,,
DE67C04E,HGNO3,OR,44.1389,-122.411,USGS01,PC,,,,,,,,,,,,,,,,,,,,,,,
5210767A,HHFO3,OR,44.9558,-121.499,BIAPRR,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD9901CA,HODO3,OR,45.6544,-121.549,USGS01,HG,PC,HG,TW,,,,,,,,,,,,,,,,,,,,
3482848E,HPCO3,OR,42.1289,-122.477,BURPNW,HP,HG,TW,VB,,,,,,,,,,,,,,,,,,,,
347C9184,HPPO3,OR,42.2167,-122.376,BURPNW,HP,VB,,,,,,,,,,,,,,,,,,,,,,
15C1453A,HPRO3,OR,45.2897,-119.527,NWSWRH,PC,VB,,,,,,,,,,,,,,,,,,,,,,
