nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
83782268,NLHV1,VT,44.7672,-71.7014,FWSBID,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE3264B0,NOSV1,VT,43.3392,-72.5056,CENED1,HP,PC,TA,,,,,,,,,,,,,,,,,,,,,
CE395282,NSPV1,VT,43.3333,-72.5153,CENED1,HT,,,,,,,,,,,,,,,,,,,,,,,
175D725E,NTYV1,VT,44.9728,-72.3858,USGS01,HG,PC,TA,VB,,,,,,,,,,,,,,,,,,,,
165606C4,NWPV1,VT,44.9403,-72.1897,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17C0711E,OTQV1,VT,43.6222,-72.7594,USGS01,HG,HG,PC,,,,,,,,,,,,,,,,,,,,,
172B42A6,PASV1,VT,44.3656,-72.0397,USGS01,TA,HG,PC,VB,,,,,,,,,,,,,,,,,,,,
DD6DB56A,RANV1,VT,43.9344,-72.6583,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DD6D9386,RCHV1,VT,44.5039,-72.7822,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
63709046,RDFV1,VT,43.9408,-72.6081,NEPWRC,PC,TA,VB,,,,,,,,,,,,,,,,,,,,,
1171510C,RIPV1,VT,43.9708,-73.0136,NWSERH,PC,,,,,,,,,,,,,,,,,,,,,,,
DD6DC3FA,RKGV1,VT,43.1917,-72.4856,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17F2F48E,SAXV1,VT,43.1375,-72.4886,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DE14578E,SBFV1,VT,44.37,-73.2167,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
63705558,SBRV1,VT,42.9064,-72.95,NEPWRC,PC,TA,VB,HP,,,,,,,,,,,,,,,,,,,,
15CED6CA,SHRV1,VT,44.6264,-73.3031,NWSERH,DY,TA,PC,PC,VB,,,,,,,,,,,,,,,,,,,
175DA436,STJV1,VT,44.4353,-72.0389,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1173311E,SUNV1,VT,43.0908,-73.1244,NWSERH,DY,TA,PC,PC,VB,,,,,,,,,,,,,,,,,,,
15C32528,SUTV1,VT,44.6122,-72.0481,NWSERH,DY,TA,PC,PC,VB,YV,,,,,,,,,,,,,,,,,,
17F2D262,SWAV1,VT,44.9167,-73.1289,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE31E5AA,TOWV1,VT,43.0511,-72.7006,CENED1,TA,HP,PC,HT,,,,,,,,,,,,,,,,,,,,
CE31A6A0,UNVV1,VT,43.79,-72.2553,CENED1,TA,PC,HG,HP,,,,,,,,,,,,,,,,,,,,
1173478E,UVDV1,VT,43.7914,-72.2572,NWSERH,DY,TA,PC,PC,VB,YV,,,,,,,,,,,,,,,,,,
DDB296EE,VICV1,VT,44.5117,-71.8369,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DE2AF56E,WATV1,VT,44.3283,-72.7461,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE46E232,WEHV1,VT,43.7142,-72.4186,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE46ECE0,WELV1,VT,44.1533,-72.0422,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
3335A5F0,WFRV1,VT,42.8903,-73.035,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DE17766C,WLRV1,VT,44.1503,-72.0656,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
170522C6,WRSV1,VT,44.3817,-72.7703,USGS01,HP,HP,TA,VB,,,,,,,,,,,,,,,,,,,,
1662731E,WRTV1,VT,44.2994,-72.5792,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17F2B784,WTBV1,VT,44.3703,-72.7692,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
172B12DA,WVRV1,VT,44.3106,-72.5753,USGS01,HP,VB,,,,,,,,,,,,,,,,,,,,,,
