nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
CE45CD02,KNEN3,NH,42.9192,-72.2797,CENED1,HG,HG,HG,WV,TW,,,,,,,,,,,,,,,,,,,
0330494E,LAKN3,NH,43.5492,-71.4653,NHDESB,TA,HG,PC,VB,,,,,,,,,,,,,,,,,,,,
DD3EA550,LAMN3,NH,43.1025,-70.9531,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1170A372,LICN3,NH,44.0425,-71.6725,NWSERH,DY,TA,PC,PC,US,UD,UP,UR,VB,,,,,,,,,,,,,,,
17E501A0,LINN3,NH,44.0475,-71.6603,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
033133F6,LKFN3,NH,45.0497,-71.3806,NHDESB,HP,PC,TA,TW,,,,,,,,,,,,,,,,,,,,
03300A44,LKSN3,NH,43.3856,-72.0817,NHDESB,TA,HP,PC,,,,,,,,,,,,,,,,,,,,,
033054EA,LKWN3,NH,43.5017,-71.5103,NHDESB,HG,TA,PC,VB,,,,,,,,,,,,,,,,,,,,
328D6422,LNCN3,NH,44.5264,-71.5725,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
0330479C,LYNN3,NH,42.8853,-71.8136,NHDESB,TA,PC,VB,,,,,,,,,,,,,,,,,,,,,
CE31933A,MACN3,NH,42.8928,-71.9872,CENED1,TA,HP,PC,HT,,,,,,,,,,,,,,,,,,,,
03302CA8,MCAN3,NH,43.6486,-72.1819,NHDESB,PC,HP,TA,HT,,,,,,,,,,,,,,,,,,,,
DE175080,MFDN3,NH,42.8425,-71.7072,USGS01,HG,WT,TW,,,,,,,,,,,,,,,,,,,,,
